Request id,Pickup point,Driver id,Status,Request time,Drop time,Request time-date,Drop time-date
4198,Airport,13,Trip Completed,05:32:14,06:45:32,14-07-2016,14-07-2016
4627,City,13,Trip Completed,11:13:19,12:00:12,14-07-2016,14-07-2016
5289,City,13,Trip Completed,21:43:24,22:24:13,14-07-2016,14-07-2016
5495,Airport,13,Trip Completed,05:00:13,06:02:27,15-07-2016,15-07-2016
6656,Airport,13,Trip Completed,22:08:42,22:41:18,15-07-2016,15-07-2016
139,Airport,14,Trip Completed,05:21:00,06:09:00,11-07-2016,11-07-2016
215,City,14,Trip Completed,06:15:00,07:07:00,11-07-2016,11-07-2016
1816,City,14,Trip Completed,09:24:00,10:07:00,12-07-2016,12-07-2016
2505,Airport,14,Trip Completed,21:03:00,22:14:00,12-07-2016,12-07-2016
3346,City,14,Trip Completed,13:01:42,13:55:59,13-07-2016,13-07-2016
5294,City,14,Trip Completed,21:45:50,22:16:40,14-07-2016,14-07-2016
6226,Airport,14,Trip Completed,17:34:25,18:33:13,15-07-2016,15-07-2016
6733,Airport,14,Trip Completed,23:32:44,00:37:46,15-07-2016,16-07-2016
1027,Airport,15,Trip Completed,19:18:00,20:24:00,11-07-2016,11-07-2016
2675,Airport,15,Trip Completed,23:43:00,00:35:12,12-07-2016,13-07-2016
3200,City,15,Trip Completed,09:39:44,10:30:58,13-07-2016,13-07-2016
3865,City,15,Trip Completed,21:52:05,22:21:15,13-07-2016,13-07-2016
4468,City,15,Trip Completed,08:42:46,09:22:01,14-07-2016,14-07-2016
5163,Airport,15,Trip Completed,20:34:30,21:05:18,14-07-2016,14-07-2016
6009,City,15,Trip Completed,12:22:35,13:25:27,15-07-2016,15-07-2016
6448,Airport,15,Trip Completed,20:02:54,20:40:45,15-07-2016,15-07-2016
591,City,16,Trip Completed,11:25:00,12:31:00,11-07-2016,11-07-2016
709,City,16,Trip Completed,14:16:00,15:03:00,11-07-2016,11-07-2016
1167,Airport,16,Trip Completed,20:50:00,21:52:00,11-07-2016,11-07-2016
2661,Airport,16,Trip Completed,23:23:00,00:27:21,12-07-2016,13-07-2016
2808,City,16,Trip Completed,05:05:16,05:56:11,13-07-2016,13-07-2016
3258,Airport,16,Trip Completed,10:12:51,10:45:28,13-07-2016,13-07-2016
3413,Airport,16,Trip Completed,15:32:01,16:45:44,13-07-2016,13-07-2016
3939,Airport,16,Trip Completed,22:26:26,22:55:54,13-07-2016,13-07-2016
4125,City,16,Trip Completed,04:37:11,05:46:29,14-07-2016,14-07-2016
4457,City,16,Trip Completed,08:36:24,09:19:20,14-07-2016,14-07-2016
4728,City,16,Trip Completed,14:04:13,15:06:40,14-07-2016,14-07-2016
5347,Airport,16,Trip Completed,22:51:47,23:53:42,14-07-2016,14-07-2016
6147,City,16,Trip Completed,16:11:02,17:30:08,15-07-2016,15-07-2016
6496,Airport,16,Trip Completed,20:33:00,21:32:49,15-07-2016,15-07-2016
634,City,17,Trip Completed,12:25:00,13:06:00,11-07-2016,11-07-2016
939,Airport,17,Trip Completed,18:25:00,19:26:00,11-07-2016,11-07-2016
2628,Airport,17,Trip Completed,22:10:00,23:25:00,12-07-2016,12-07-2016
3021,City,17,Trip Completed,07:33:20,08:26:07,13-07-2016,13-07-2016
4743,City,17,Trip Completed,14:54:16,15:39:03,14-07-2016,14-07-2016
4981,City,17,Trip Completed,18:47:42,19:43:44,14-07-2016,14-07-2016
5367,Airport,17,Trip Completed,23:35:34,00:25:26,14-07-2016,15-07-2016
5471,Airport,17,Trip Completed,04:48:57,05:47:13,15-07-2016,15-07-2016
5988,Airport,17,Trip Completed,11:48:32,12:55:02,15-07-2016,15-07-2016
6477,Airport,17,Trip Completed,20:21:26,21:00:31,15-07-2016,15-07-2016
499,City,18,Trip Completed,09:39:00,10:16:00,11-07-2016,11-07-2016
1147,Airport,18,Trip Completed,20:42:00,21:18:00,11-07-2016,11-07-2016
1410,Airport,18,Trip Completed,03:14:00,04:27:00,12-07-2016,12-07-2016
1804,Airport,18,Trip Completed,09:12:00,09:57:00,12-07-2016,12-07-2016
1949,Airport,18,Trip Completed,11:32:00,12:13:00,12-07-2016,12-07-2016
2713,City,18,Trip Completed,01:46:42,02:37:08,13-07-2016,13-07-2016
2845,City,18,Trip Completed,05:28:29,06:10:40,13-07-2016,13-07-2016
3943,Airport,18,Trip Completed,22:35:38,23:33:20,13-07-2016,13-07-2016
4792,City,18,Trip Completed,16:47:15,17:34:39,14-07-2016,14-07-2016
5207,Airport,18,Trip Completed,20:57:41,21:56:21,14-07-2016,14-07-2016
5890,City,18,Trip Completed,09:43:57,10:55:22,15-07-2016,15-07-2016
494,City,19,Trip Completed,09:36:00,10:02:00,11-07-2016,11-07-2016
1485,City,19,Trip Completed,05:21:00,06:35:00,12-07-2016,12-07-2016
2042,City,19,Trip Completed,14:30:00,15:09:00,12-07-2016,12-07-2016
2561,Airport,19,Trip Completed,21:29:00,22:44:00,12-07-2016,12-07-2016
3813,Airport,19,Trip Completed,21:06:57,21:46:24,13-07-2016,13-07-2016
4260,Airport,19,Trip Completed,06:11:51,06:59:46,14-07-2016,14-07-2016
4395,City,19,Trip Completed,08:00:15,08:54:39,14-07-2016,14-07-2016
5919,City,19,Trip Completed,10:03:42,10:59:27,15-07-2016,15-07-2016
6002,Airport,19,Trip Completed,12:04:15,12:53:36,15-07-2016,15-07-2016
468,City,20,Trip Completed,09:20:00,10:05:00,11-07-2016,11-07-2016
693,Airport,20,Trip Completed,13:51:00,15:01:00,11-07-2016,11-07-2016
1178,City,20,Trip Completed,21:05:00,22:06:00,11-07-2016,11-07-2016
2103,City,20,Trip Completed,16:08:00,17:18:00,12-07-2016,12-07-2016
2292,Airport,20,Trip Completed,18:46:00,19:23:00,12-07-2016,12-07-2016
3339,City,20,Trip Completed,12:40:58,13:30:26,13-07-2016,13-07-2016
3694,City,20,Trip Completed,19:33:19,20:35:08,13-07-2016,13-07-2016
4469,City,20,Trip Completed,08:45:13,09:48:08,14-07-2016,14-07-2016
6432,City,20,Trip Completed,19:50:57,20:30:05,15-07-2016,15-07-2016
1895,City,21,Trip Completed,10:20:00,10:52:00,12-07-2016,12-07-2016
1981,Airport,21,Trip Completed,12:23:00,12:56:00,12-07-2016,12-07-2016
3744,Airport,21,Trip Completed,20:28:11,21:22:42,13-07-2016,13-07-2016
4433,Airport,21,Trip Completed,08:26:32,09:12:02,14-07-2016,14-07-2016
6039,Airport,21,Trip Completed,13:11:04,13:38:01,15-07-2016,15-07-2016
6543,City,21,Trip Completed,20:54:20,22:12:36,15-07-2016,15-07-2016
110,City,22,Trip Completed,05:05:00,06:06:00,11-07-2016,11-07-2016
362,City,22,Trip Completed,08:01:00,09:18:00,11-07-2016,11-07-2016
666,Airport,22,Trip Completed,13:02:00,13:45:00,11-07-2016,11-07-2016
926,City,22,Trip Completed,18:28:00,19:34:00,11-07-2016,11-07-2016
1180,Airport,22,Trip Completed,21:01:00,22:14:00,11-07-2016,11-07-2016
1900,City,22,Trip Completed,10:32:00,11:42:00,12-07-2016,12-07-2016
2506,City,22,Trip Completed,21:01:00,21:38:00,12-07-2016,12-07-2016
3064,City,22,Trip Completed,08:02:03,08:58:46,13-07-2016,13-07-2016
3327,Airport,22,Trip Completed,12:24:41,13:23:39,13-07-2016,13-07-2016
3601,City,22,Trip Completed,18:39:00,19:29:07,13-07-2016,13-07-2016
4768,Airport,22,Trip Completed,15:39:24,16:49:03,14-07-2016,14-07-2016
5142,City,22,Trip Completed,20:17:51,20:48:58,14-07-2016,14-07-2016
5366,Airport,22,Trip Completed,23:27:22,00:19:50,14-07-2016,15-07-2016
5575,City,22,Trip Completed,05:53:55,06:50:02,15-07-2016,15-07-2016
5902,City,22,Trip Completed,09:52:57,10:37:05,15-07-2016,15-07-2016
6694,Airport,22,Trip Completed,22:45:44,23:17:53,15-07-2016,15-07-2016
523,Airport,23,Trip Completed,09:48:00,10:37:00,11-07-2016,11-07-2016
747,City,23,Trip Completed,15:53:00,16:43:00,11-07-2016,11-07-2016
1371,Airport,23,Trip Completed,00:22:00,01:33:00,12-07-2016,12-07-2016
1553,City,23,Trip Completed,06:09:00,07:09:00,12-07-2016,12-07-2016
1692,Airport,23,Trip Completed,07:52:00,09:01:00,12-07-2016,12-07-2016
2114,City,23,Trip Completed,16:36:00,17:21:00,12-07-2016,12-07-2016
2742,City,23,Trip Completed,03:07:37,03:51:35,13-07-2016,13-07-2016
4273,City,23,Trip Completed,06:17:01,07:02:28,14-07-2016,14-07-2016
4668,City,23,Trip Completed,12:25:02,13:34:58,14-07-2016,14-07-2016
5425,City,23,Trip Completed,02:23:56,03:08:35,15-07-2016,15-07-2016
5488,City,23,Trip Completed,04:53:42,06:00:16,15-07-2016,15-07-2016
5781,City,23,Trip Completed,08:35:47,09:42:27,15-07-2016,15-07-2016
5966,Airport,23,Trip Completed,10:54:27,11:58:44,15-07-2016,15-07-2016
6122,City,23,Trip Completed,15:26:06,16:29:40,15-07-2016,15-07-2016
357,Airport,24,Trip Completed,08:00:00,09:08:00,11-07-2016,11-07-2016
1068,City,24,Trip Completed,19:52:00,20:48:00,11-07-2016,11-07-2016
2689,Airport,24,Trip Completed,00:34:03,01:49:08,13-07-2016,13-07-2016
2791,City,24,Trip Completed,04:56:20,05:33:20,13-07-2016,13-07-2016
3321,City,24,Trip Completed,12:23:02,13:25:14,13-07-2016,13-07-2016
3423,Airport,24,Trip Completed,15:52:07,16:50:46,13-07-2016,13-07-2016
3761,Airport,24,Trip Completed,20:35:24,21:39:02,13-07-2016,13-07-2016
4140,City,24,Trip Completed,04:48:09,06:05:01,14-07-2016,14-07-2016
4656,City,24,Trip Completed,12:06:27,12:49:14,14-07-2016,14-07-2016
4931,Airport,24,Trip Completed,18:21:52,18:54:03,14-07-2016,14-07-2016
5268,City,24,Trip Completed,21:29:35,22:30:11,14-07-2016,14-07-2016
5811,City,24,Trip Completed,08:46:30,09:26:33,15-07-2016,15-07-2016
6139,Airport,24,Trip Completed,15:45:16,16:40:41,15-07-2016,15-07-2016
6333,Airport,24,Trip Completed,18:41:22,19:53:29,15-07-2016,15-07-2016
773,City,25,Trip Completed,16:23:00,17:21:00,11-07-2016,11-07-2016
1123,City,25,Trip Completed,20:20:00,21:18:00,11-07-2016,11-07-2016
2667,Airport,25,Trip Completed,23:35:00,00:40:52,12-07-2016,13-07-2016
2833,City,25,Trip Completed,05:27:26,06:19:18,13-07-2016,13-07-2016
3396,City,25,Trip Completed,14:59:08,15:57:24,13-07-2016,13-07-2016
3590,City,25,Trip Completed,18:31:29,19:31:56,13-07-2016,13-07-2016
3762,City,25,Trip Completed,20:38:10,21:21:24,13-07-2016,13-07-2016
4566,City,25,Trip Completed,09:48:56,10:22:52,14-07-2016,14-07-2016
4862,City,25,Trip Completed,17:37:44,18:41:40,14-07-2016,14-07-2016
5564,Airport,25,Trip Completed,05:41:11,06:53:22,15-07-2016,15-07-2016
6187,City,25,Trip Completed,17:11:08,18:08:11,15-07-2016,15-07-2016
6642,City,25,Trip Completed,22:07:14,22:54:02,15-07-2016,15-07-2016
322,City,26,Trip Completed,07:31:00,08:10:00,11-07-2016,11-07-2016
793,City,26,Trip Completed,17:04:00,18:06:00,11-07-2016,11-07-2016
898,Airport,26,Trip Completed,18:14:00,19:09:00,11-07-2016,11-07-2016
1258,City,26,Trip Completed,21:51:00,23:00:00,11-07-2016,11-07-2016
2832,City,26,Trip Completed,05:20:16,06:14:07,13-07-2016,13-07-2016
3139,City,26,Trip Completed,08:54:04,09:22:42,13-07-2016,13-07-2016
3438,City,26,Trip Completed,16:12:53,17:13:44,13-07-2016,13-07-2016
3966,Airport,26,Trip Completed,22:50:42,23:27:43,13-07-2016,13-07-2016
6401,Airport,26,Trip Completed,19:33:00,20:16:57,15-07-2016,15-07-2016
204,City,27,Trip Completed,06:04:00,06:44:00,11-07-2016,11-07-2016
632,Airport,27,Trip Completed,12:20:00,13:10:00,11-07-2016,11-07-2016
763,City,27,Trip Completed,16:19:00,17:25:00,11-07-2016,11-07-2016
1786,Airport,27,Trip Completed,09:03:00,09:58:00,12-07-2016,12-07-2016
1968,City,27,Trip Completed,12:10:00,12:49:00,12-07-2016,12-07-2016
2088,Airport,27,Trip Completed,15:51:00,17:02:00,12-07-2016,12-07-2016
2473,Airport,27,Trip Completed,20:43:00,21:20:00,12-07-2016,12-07-2016
2869,Airport,27,Trip Completed,05:50:09,06:27:07,13-07-2016,13-07-2016
3742,Airport,27,Trip Completed,20:24:23,20:48:05,13-07-2016,13-07-2016
4440,Airport,27,Trip Completed,08:26:29,09:00:36,14-07-2016,14-07-2016
5234,City,27,Trip Completed,21:09:47,21:52:37,14-07-2016,14-07-2016
6354,Airport,27,Trip Completed,18:59:01,19:35:10,15-07-2016,15-07-2016
6638,City,27,Trip Completed,21:59:10,23:13:18,15-07-2016,15-07-2016
84,City,28,Trip Completed,04:50:00,05:26:00,11-07-2016,11-07-2016
1199,City,28,Trip Completed,21:17:00,21:53:00,11-07-2016,11-07-2016
1676,Airport,28,Trip Completed,07:44:00,08:40:00,12-07-2016,12-07-2016
2774,City,28,Trip Completed,04:33:38,05:13:54,13-07-2016,13-07-2016
3220,Airport,28,Trip Completed,09:51:41,10:24:39,13-07-2016,13-07-2016
3718,Airport,28,Trip Completed,19:56:20,20:47:17,13-07-2016,13-07-2016
4904,Airport,28,Trip Completed,18:02:23,18:58:49,14-07-2016,14-07-2016
6527,Airport,28,Trip Completed,20:54:01,21:53:29,15-07-2016,15-07-2016
6710,City,28,Trip Completed,23:02:36,00:12:12,15-07-2016,16-07-2016
1584,Airport,29,Trip Completed,06:26:00,07:18:00,12-07-2016,12-07-2016
1966,Airport,29,Trip Completed,12:05:00,13:12:00,12-07-2016,12-07-2016
2827,City,29,Trip Completed,05:18:31,06:18:22,13-07-2016,13-07-2016
2945,Airport,29,Trip Completed,06:34:13,07:28:05,13-07-2016,13-07-2016
3365,City,29,Trip Completed,13:47:14,14:51:51,13-07-2016,13-07-2016
3548,Airport,29,Trip Completed,18:07:42,19:12:22,13-07-2016,13-07-2016
3753,City,29,Trip Completed,20:30:08,21:42:32,13-07-2016,13-07-2016
4569,Airport,29,Trip Completed,09:48:17,10:49:39,14-07-2016,14-07-2016
6309,Airport,29,Trip Completed,18:29:54,19:42:21,15-07-2016,15-07-2016
6437,City,29,Trip Completed,19:53:52,20:26:32,15-07-2016,15-07-2016
517,Airport,30,Trip Completed,09:45:00,10:24:00,11-07-2016,11-07-2016
1406,Airport,30,Trip Completed,03:02:00,03:55:00,12-07-2016,12-07-2016
1643,Airport,30,Trip Completed,07:18:00,08:10:00,12-07-2016,12-07-2016
2108,Airport,30,Trip Completed,16:14:00,16:48:00,12-07-2016,12-07-2016
2647,City,30,Trip Completed,22:46:00,23:18:00,12-07-2016,12-07-2016
3129,City,30,Trip Completed,08:41:49,09:41:42,13-07-2016,13-07-2016
3738,Airport,30,Trip Completed,20:15:54,20:55:01,13-07-2016,13-07-2016
4422,Airport,30,Trip Completed,08:13:15,09:13:10,14-07-2016,14-07-2016
4790,City,30,Trip Completed,16:43:53,17:56:08,14-07-2016,14-07-2016
5496,City,30,Trip Completed,04:59:58,05:34:09,15-07-2016,15-07-2016
6484,Airport,30,Trip Completed,20:19:45,21:01:21,15-07-2016,15-07-2016
6731,Airport,30,Trip Completed,23:23:55,00:11:55,15-07-2016,16-07-2016
629,Airport,31,Trip Completed,12:14:00,13:00:00,11-07-2016,11-07-2016
745,Airport,31,Trip Completed,15:48:00,16:45:00,11-07-2016,11-07-2016
1064,City,31,Trip Completed,19:53:00,20:31:00,11-07-2016,11-07-2016
1886,Airport,31,Trip Completed,10:10:00,10:35:00,12-07-2016,12-07-2016
5608,Airport,31,Trip Completed,06:18:36,07:07:34,15-07-2016,15-07-2016
5877,City,31,Trip Completed,09:37:21,10:08:03,15-07-2016,15-07-2016
6100,Airport,31,Trip Completed,14:44:32,15:41:12,15-07-2016,15-07-2016
6659,Airport,31,Trip Completed,22:15:45,23:07:50,15-07-2016,15-07-2016
2162,Airport,32,Trip Completed,17:34:00,18:33:00,12-07-2016,12-07-2016
3294,Airport,32,Trip Completed,11:23:36,12:14:06,13-07-2016,13-07-2016
3686,City,32,Trip Completed,19:33:18,20:34:21,13-07-2016,13-07-2016
4784,City,32,Trip Completed,16:41:52,17:15:01,14-07-2016,14-07-2016
5896,City,32,Trip Completed,09:47:11,10:32:41,15-07-2016,15-07-2016
6190,City,32,Trip Completed,17:11:33,17:55:50,15-07-2016,15-07-2016
6551,City,32,Trip Completed,21:03:02,22:17:22,15-07-2016,15-07-2016
145,City,33,Trip Completed,05:32:00,06:37:00,11-07-2016,11-07-2016
735,City,33,Trip Completed,15:27:00,16:32:00,11-07-2016,11-07-2016
918,Airport,33,Trip Completed,18:22:00,19:04:00,11-07-2016,11-07-2016
1478,City,33,Trip Completed,05:16:00,06:13:00,12-07-2016,12-07-2016
1957,City,33,Trip Completed,11:45:00,12:55:00,12-07-2016,12-07-2016
3097,City,33,Trip Completed,08:15:34,09:12:57,13-07-2016,13-07-2016
3981,Airport,33,Trip Completed,23:13:54,23:38:37,13-07-2016,13-07-2016
4175,City,33,Trip Completed,05:11:15,06:15:24,14-07-2016,14-07-2016
6237,City,33,Trip Completed,17:50:37,18:49:29,15-07-2016,15-07-2016
738,City,34,Trip Completed,15:30:00,16:44:00,11-07-2016,11-07-2016
2731,City,34,Trip Completed,02:38:48,03:16:56,13-07-2016,13-07-2016
2863,Airport,34,Trip Completed,05:46:42,06:22:39,13-07-2016,13-07-2016
3528,Airport,34,Trip Completed,17:50:59,18:17:24,13-07-2016,13-07-2016
4653,City,34,Trip Completed,11:58:46,12:55:21,14-07-2016,14-07-2016
5042,City,34,Trip Completed,19:21:16,20:05:07,14-07-2016,14-07-2016
360,Airport,35,Trip Completed,08:02:00,09:05:00,11-07-2016,11-07-2016
771,Airport,35,Trip Completed,16:19:00,17:34:00,11-07-2016,11-07-2016
1274,City,35,Trip Completed,22:01:00,23:21:00,11-07-2016,11-07-2016
